dataset,mode,ranks,threads,total_workers,repeat,pr_time_s,total_time_s,comm_time_s,dangling_reduce_s,diff_reduce_s,allgatherv_s,iterations,max_error,status,work_nodes_min,work_nodes_avg,work_nodes_max,work_inedges_min,work_inedges_avg,work_inedges_max,work_imbalance,speedup_vs_first,parallel_efficiency_vs_first
synthetic_100k_1m,directed,4,4,16,1,0.012782000,0.250742000,0.007625000,0.002250000,0.000789000,0.004728000,19,0.000000e+00,PASS,25000,25000.00,25000,232755,250000.00,261014,1.044,2.870599280,2.870599280
synthetic_100k_1m,directed,4,4,16,2,0.010282000,0.205785000,0.006874000,0.001885000,0.000543000,0.004489000,19,0.000000e+00,PASS,25000,25000.00,25000,232755,250000.00,261014,1.044,3.568566427,3.568566427
synthetic_100k_1m,directed,4,4,16,3,0.012944000,0.214995000,0.009447000,0.003500000,0.001509000,0.004595000,19,0.000000e+00,PASS,25000,25000.00,25000,232755,250000.00,261014,1.044,2.834672435,2.834672435
synthetic_100k_1m,directed,4,4,16,4,0.009264000,0.249676000,0.005802000,0.000677000,0.000370000,0.005211000,19,0.000000e+00,PASS,25000,25000.00,25000,232755,250000.00,261014,1.044,3.960708117,3.960708117
synthetic_100k_1m,directed,4,4,16,5,0.013945000,0.238534000,0.010450000,0.004046000,0.001348000,0.005323000,19,0.000000e+00,PASS,25000,25000.00,25000,232755,250000.00,261014,1.044,2.631193976,2.631193976
synthetic_100k_1m,directed,8,2,16,1,0.011893000,0.207106000,0.008405000,0.003118000,0.000504000,0.005247000,19,0.000000e+00,PASS,12500,12500.00,12500,111956,125000.00,130855,1.047,3.085176154,3.085176154
synthetic_100k_1m,directed,8,2,16,2,0.015868000,0.214117000,0.012326000,0.001790000,0.005439000,0.005339000,19,0.000000e+00,PASS,12500,12500.00,12500,111956,125000.00,130855,1.047,2.312326695,2.312326695
synthetic_100k_1m,directed,8,2,16,3,0.028392000,0.219110000,0.024385000,0.007691000,0.010042000,0.009237000,19,0.000000e+00,PASS,12500,12500.00,12500,111956,125000.00,130855,1.047,1.292335869,1.292335869
synthetic_100k_1m,directed,8,2,16,4,0.011614000,0.198269000,0.008227000,0.002639000,0.001350000,0.004730000,19,0.000000e+00,PASS,12500,12500.00,12500,111956,125000.00,130855,1.047,3.159290511,3.159290511
synthetic_100k_1m,directed,8,2,16,5,0.029098000,0.214995000,0.022997000,0.004652000,0.014458000,0.005497000,19,0.000000e+00,PASS,12500,12500.00,12500,111956,125000.00,130855,1.047,1.260980136,1.260980136
synthetic_100k_1m,directed,16,1,16,1,0.012222000,0.376589000,0.010053000,0.001627000,0.003322000,0.006419000,19,0.000000e+00,PASS,6250,6250.00,6250,54185,62500.00,65696,1.051,3.002127311,3.002127311
synthetic_100k_1m,directed,16,1,16,2,0.009004000,0.369515000,0.006912000,0.001013000,0.001819000,0.004904000,19,0.000000e+00,PASS,6250,6250.00,6250,54185,62500.00,65696,1.051,4.075077743,4.075077743
synthetic_100k_1m,directed,16,1,16,3,0.013928000,0.408648000,0.011787000,0.000999000,0.005821000,0.005857000,19,0.000000e+00,PASS,6250,6250.00,6250,54185,62500.00,65696,1.051,2.634405514,2.634405514
synthetic_100k_1m,directed,16,1,16,4,0.012936000,0.373471000,0.010737000,0.000968000,0.005302000,0.005227000,19,0.000000e+00,PASS,6250,6250.00,6250,54185,62500.00,65696,1.051,2.836425479,2.836425479
synthetic_100k_1m,directed,16,1,16,5,0.013080000,0.371961000,0.011035000,0.001120000,0.005622000,0.005204000,19,0.000000e+00,PASS,6250,6250.00,6250,54185,62500.00,65696,1.051,2.805198777,2.805198777
