dataset,mode,variant,ranks,threads,total_workers,repeat,pr_time_s,total_time_s,comm_time_s,comm_fraction,dangling_reduce_s,diff_reduce_s,allgatherv_s,iterations,max_error,status,work_nodes_min,work_nodes_avg,work_nodes_max,work_inedges_min,work_inedges_avg,work_inedges_max,work_imbalance
synthetic_100k_1m,directed,inv_static,4,4,16,4,0.017149000,0.209608000,0.009664000,0.563531401,0.003990000,0.000581000,0.005928000,19,0.000000e+00,PASS,25000,25000.00,25000,232755,250000.00,261014,1.044
synthetic_100k_1m,directed,inv_static,4,4,16,5,0.012903000,0.222134000,0.009494000,0.735797876,0.000948000,0.004280000,0.004503000,19,0.000000e+00,PASS,25000,25000.00,25000,232755,250000.00,261014,1.044
synthetic_100k_1m,directed,inv_static,4,4,16,6,0.016405000,0.213651000,0.013092000,0.798049375,0.003901000,0.004502000,0.005064000,19,0.000000e+00,PASS,25000,25000.00,25000,232755,250000.00,261014,1.044
synthetic_100k_1m,directed,inv_static,4,4,16,7,0.009567000,0.219123000,0.006068000,0.634263615,0.000572000,0.000782000,0.004921000,19,0.000000e+00,PASS,25000,25000.00,25000,232755,250000.00,261014,1.044
synthetic_100k_1m,directed,inv_static,4,4,16,8,0.016771000,0.225992000,0.013392000,0.798521257,0.003283000,0.005024000,0.005816000,19,0.000000e+00,PASS,25000,25000.00,25000,232755,250000.00,261014,1.044
synthetic_100k_1m,directed,inv_static,4,4,16,9,0.015439000,0.219117000,0.007292000,0.472310383,0.001840000,0.000685000,0.005103000,19,0.000000e+00,PASS,25000,25000.00,25000,232755,250000.00,261014,1.044
synthetic_100k_1m,directed,inv_static,4,4,16,10,0.013848000,0.215250000,0.010661000,0.769858463,0.001995000,0.004298000,0.004402000,19,0.000000e+00,PASS,25000,25000.00,25000,232755,250000.00,261014,1.044
synthetic_100k_1m,directed,no_inv_dynamic,1,16,16,1,0.037449000,0.231148000,0.000403000,0.010761302,0.000005000,0.000006000,0.000392000,19,1.016440e-20,PASS,100000,100000.00,100000,1000000,1000000.00,1000000,1.000
synthetic_100k_1m,directed,no_inv_dynamic,1,16,16,2,0.035557000,0.216148000,0.000472000,0.013274461,0.000005000,0.000007000,0.000460000,19,1.016440e-20,PASS,100000,100000.00,100000,1000000,1000000.00,1000000,1.000
synthetic_100k_1m,directed,no_inv_dynamic,1,16,16,3,0.038534000,0.233087000,0.000472000,0.012248923,0.000005000,0.000009000,0.000457000,19,1.016440e-20,PASS,100000,100000.00,100000,1000000,1000000.00,1000000,1.000
synthetic_100k_1m,directed,no_inv_dynamic,1,16,16,4,0.047626000,0.258242000,0.000454000,0.009532608,0.000007000,0.000008000,0.000438000,19,1.016440e-20,PASS,100000,100000.00,100000,1000000,1000000.00,1000000,1.000
synthetic_100k_1m,directed,no_inv_dynamic,1,16,16,5,0.067291000,0.313114000,0.000526000,0.007816796,0.000007000,0.000008000,0.000511000,19,1.016440e-20,PASS,100000,100000.00,100000,1000000,1000000.00,1000000,1.000
synthetic_100k_1m,directed,no_inv_dynamic,1,16,16,6,0.031198000,0.218848000,0.000428000,0.013718828,0.000004000,0.000008000,0.000417000,19,1.016440e-20,PASS,100000,100000.00,100000,1000000,1000000.00,1000000,1.000
synthetic_100k_1m,directed,no_inv_dynamic,1,16,16,7,0.033226000,0.217735000,0.000409000,0.012309637,0.000005000,0.000008000,0.000395000,19,1.016440e-20,PASS,100000,100000.00,100000,1000000,1000000.00,1000000,1.000
synthetic_100k_1m,directed,no_inv_dynamic,1,16,16,8,0.033781000,0.229845000,0.000460000,0.013617122,0.000005000,0.000006000,0.000449000,19,1.016440e-20,PASS,100000,100000.00,100000,1000000,1000000.00,1000000,1.000
synthetic_100k_1m,directed,no_inv_dynamic,1,16,16,9,0.031162000,0.218787000,0.000412000,0.013221231,0.000005000,0.000007000,0.000400000,19,1.016440e-20,PASS,100000,100000.00,100000,1000000,1000000.00,1000000,1.000
synthetic_100k_1m,directed,no_inv_dynamic,1,16,16,10,0.031973000,0.209983000,0.000433000,0.013542677,0.000006000,0.000008000,0.000419000,19,1.016440e-20,PASS,100000,100000.00,100000,1000000,1000000.00,1000000,1.000
synthetic_100k_1m,directed,no_inv_dynamic,4,4,16,1,0.014900000,0.258694000,0.010032000,0.673288591,0.002015000,0.002242000,0.006040000,19,1.016440e-20,PASS,25000,25000.00,25000,232755,250000.00,261014,1.044
synthetic_100k_1m,directed,no_inv_dynamic,4,4,16,2,0.010888000,0.214721000,0.007336000,0.673769287,0.000827000,0.001876000,0.005141000,19,1.016440e-20,PASS,25000,25000.00,25000,232755,250000.00,261014,1.044
synthetic_100k_1m,directed,no_inv_dynamic,4,4,16,3,0.010665000,0.204270000,0.006950000,0.651664323,0.001126000,0.001007000,0.005111000,19,1.016440e-20,PASS,25000,25000.00,25000,232755,250000.00,261014,1.044
synthetic_100k_1m,directed,no_inv_dynamic,4,4,16,4,0.015053000,0.208943000,0.009630000,0.639739587,0.002705000,0.001829000,0.005743000,19,1.016440e-20,PASS,25000,25000.00,25000,232755,250000.00,261014,1.044
synthetic_100k_1m,directed,no_inv_dynamic,4,4,16,5,0.009824000,0.202266000,0.005477000,0.557512215,0.000589000,0.000622000,0.004511000,19,1.016440e-20,PASS,25000,25000.00,25000,232755,250000.00,261014,1.044
synthetic_100k_1m,directed,no_inv_dynamic,4,4,16,6,0.011260000,0.219902000,0.007815000,0.694049734,0.002495000,0.000168000,0.005210000,19,1.016440e-20,PASS,25000,25000.00,25000,232755,250000.00,261014,1.044
synthetic_100k_1m,directed,no_inv_dynamic,4,4,16,7,0.011949000,0.273869000,0.008402000,0.703155076,0.001756000,0.001761000,0.005452000,19,1.016440e-20,PASS,25000,25000.00,25000,232755,250000.00,261014,1.044
synthetic_100k_1m,directed,no_inv_dynamic,4,4,16,8,0.010765000,0.204112000,0.007481000,0.694937297,0.001945000,0.000659000,0.004935000,19,1.016440e-20,PASS,25000,25000.00,25000,232755,250000.00,261014,1.044
synthetic_100k_1m,directed,no_inv_dynamic,4,4,16,9,0.014590000,0.238690000,0.010691000,0.732762166,0.005965000,0.000295000,0.004767000,19,1.016440e-20,PASS,25000,25000.00,25000,232755,250000.00,261014,1.044
synthetic_100k_1m,directed,no_inv_dynamic,4,4,16,10,0.014346000,0.229100000,0.010630000,0.740973094,0.003964000,0.001906000,0.005402000,19,1.016440e-20,PASS,25000,25000.00,25000,232755,250000.00,261014,1.044
synthetic_100k_1m,directed,inv_dynamic,1,16,16,1,0.028500000,0.225148000,0.000392000,0.013754386,0.000006000,0.000009000,0.000377000,19,0.000000e+00,PASS,100000,100000.00,100000,1000000,1000000.00,1000000,1.000
synthetic_100k_1m,directed,inv_dynamic,1,16,16,2,0.032036000,0.229726000,0.000473000,0.014764640,0.000006000,0.000009000,0.000458000,19,0.000000e+00,PASS,100000,100000.00,100000,1000000,1000000.00,1000000,1.000
synthetic_100k_1m,directed,inv_dynamic,1,16,16,3,0.029231000,0.213600000,0.000426000,0.014573569,0.000005000,0.000008000,0.000413000,19,0.000000e+00,PASS,100000,100000.00,100000,1000000,1000000.00,1000000,1.000
synthetic_100k_1m,directed,inv_dynamic,1,16,16,4,0.029399000,0.227082000,0.000423000,0.014388244,0.000006000,0.000009000,0.000407000,19,0.000000e+00,PASS,100000,100000.00,100000,1000000,1000000.00,1000000,1.000
synthetic_100k_1m,directed,inv_dynamic,1,16,16,5,0.034651000,0.229536000,0.000492000,0.014198724,0.000004000,0.000014000,0.000474000,19,0.000000e+00,PASS,100000,100000.00,100000,1000000,1000000.00,1000000,1.000
synthetic_100k_1m,directed,inv_dynamic,1,16,16,6,0.029646000,0.224169000,0.000468000,0.015786278,0.000005000,0.000008000,0.000455000,19,0.000000e+00,PASS,100000,100000.00,100000,1000000,1000000.00,1000000,1.000
synthetic_100k_1m,directed,inv_dynamic,1,16,16,7,0.035657000,0.221665000,0.000441000,0.012367838,0.000004000,0.000007000,0.000431000,19,0.000000e+00,PASS,100000,100000.00,100000,1000000,1000000.00,1000000,1.000
synthetic_100k_1m,directed,inv_dynamic,1,16,16,8,0.029203000,0.215118000,0.000452000,0.015477862,0.000006000,0.000008000,0.000439000,19,0.000000e+00,PASS,100000,100000.00,100000,1000000,1000000.00,1000000,1.000
synthetic_100k_1m,directed,inv_dynamic,1,16,16,9,0.029965000,0.214410000,0.000454000,0.015151010,0.000005000,0.000008000,0.000441000,19,0.000000e+00,PASS,100000,100000.00,100000,1000000,1000000.00,1000000,1.000
synthetic_100k_1m,directed,inv_dynamic,1,16,16,10,0.030083000,0.223042000,0.000424000,0.014094339,0.000004000,0.000007000,0.000413000,19,0.000000e+00,PASS,100000,100000.00,100000,1000000,1000000.00,1000000,1.000
synthetic_100k_1m,directed,inv_dynamic,4,4,16,1,0.010272000,0.222594000,0.006846000,0.666471963,0.002177000,0.000342000,0.005190000,19,0.000000e+00,PASS,25000,25000.00,25000,232755,250000.00,261014,1.044
synthetic_100k_1m,directed,inv_dynamic,4,4,16,2,0.011710000,0.206731000,0.007422000,0.633817250,0.000958000,0.001329000,0.005962000,19,0.000000e+00,PASS,25000,25000.00,25000,232755,250000.00,261014,1.044
synthetic_100k_1m,directed,inv_dynamic,4,4,16,3,0.008682000,0.216660000,0.005390000,0.620824695,0.000613000,0.000221000,0.004681000,19,0.000000e+00,PASS,25000,25000.00,25000,232755,250000.00,261014,1.044
synthetic_100k_1m,directed,inv_dynamic,4,4,16,4,0.011191000,0.220323000,0.007834000,0.700026807,0.002162000,0.001303000,0.004520000,19,0.000000e+00,PASS,25000,25000.00,25000,232755,250000.00,261014,1.044
synthetic_100k_1m,directed,inv_dynamic,4,4,16,5,0.009389000,0.210120000,0.006057000,0.645116626,0.000606000,0.000325000,0.005507000,19,0.000000e+00,PASS,25000,25000.00,25000,232755,250000.00,261014,1.044
synthetic_100k_1m,directed,inv_dynamic,4,4,16,6,0.009347000,0.204328000,0.005858000,0.626725152,0.000263000,0.000525000,0.005107000,19,0.000000e+00,PASS,25000,25000.00,25000,232755,250000.00,261014,1.044
synthetic_100k_1m,directed,inv_dynamic,4,4,16,7,0.008893000,0.209219000,0.005521000,0.620825368,0.000813000,0.000195000,0.004912000,19,0.000000e+00,PASS,25000,25000.00,25000,232755,250000.00,261014,1.044
synthetic_100k_1m,directed,inv_dynamic,4,4,16,8,0.012382000,0.210462000,0.009221000,0.744710063,0.003020000,0.001430000,0.005096000,19,0.000000e+00,PASS,25000,25000.00,25000,232755,250000.00,261014,1.044
synthetic_100k_1m,directed,inv_dynamic,4,4,16,9,0.009516000,0.203242000,0.006226000,0.654266499,0.000383000,0.001323000,0.004530000,19,0.000000e+00,PASS,25000,25000.00,25000,232755,250000.00,261014,1.044
synthetic_100k_1m,directed,inv_dynamic,4,4,16,10,0.009539000,0.206392000,0.006145000,0.644197505,0.001310000,0.000267000,0.005008000,19,0.000000e+00,PASS,25000,25000.00,25000,232755,250000.00,261014,1.044
